grenadine,grenadine
cognac,cognac
sugar,sugar
crème de cacao,crème de cacao
Lemon juice,Lemon juice
orange juice,orange juice
Raspberry,raspberry syrup
Bourbon whiskey,Bourbon]] or [[Rye whiskey
Dash [[Angostura bitters]],???
List of liqueurs#Coffee liqueurs,Coffee liqueur
Mentha,mint
Two dashes [[Peychaud's Bitters]],???
Triple_sec,Triple Sec
grapefruit juice,grapefruit juice
???,triple sec
Few drops of Worcestershire Sauce,???
Half slice [[onion]] finely chopped,???
???,cognac
tequila,tequila
Carbonated water,soda water
tomato juice,tomato juice
Gum syrup,Gomme syrup
???,sugar syrup
Pisco,Pisco
Baileys Irish Cream,Baileys Irish Cream
port wine,port
Angostura bitters,Angostura bitters
Lemon Juice,Lemon Juice
Bénédictine,Bénédictine
???,Sugar Syrup
[[carbonated water|soda water]],???
Crème de menthe,Crème de menthe
Prosecco,Prosecco
vodka,vodka
One sugar cube,???
Grenadine,Grenadine
schnapps,schnapps
Pepper,???
vermouth,vermouth
timing = All Day,???
cachaça,cachaça
Syrup#Simple syrup,simple syrup
Cranberry juice,Cranberry juice
Chambord_(liqueur),Raspberry Liqueur
carbonated water,carbonated water
honey,honey
sugar syrup,sugar syrup
orange flower water,orange flower water
[[Carbonated water|soda water]],???
White Rum,White Rum
vanilla extract,vanilla extract
A splash of [[soda water]],???
Kirsch,Kirsch
Top with [[Prosecco]],???
Chocolate_liqueur#Cr.C3.A8me_de_cacao,Crème de cacao
Cognac (drink),Cognac
Galliano (drink),Galliano
Galliano (liqueur),Galliano
lime juice,lime juice
Aperol,Aperol
Dash of [[Angostura bitter]] (optional),???
List of liqueurs#Galliano,Galliano
Rum,Rum
pineapple,pineapple
Triple Sec,Triple Sec
Lillet,Lillet Blanc
Few slices fresh red hot [[chili pepper]],???
Lime (fruit),lime
Gin,Gin
Curaçao (liqueur),curaçao
agave nectar,agave nectar
Champagne,Champagne
Tabasco,???
sloe gin,sloe gin
Scotch whisky,Scotch whisky
Orange juice,Orange juice
[[peach]] purée,[[peach]] purée
???,lime juice
Egg white,Egg white
Campari,Campari
Maraschino,Maraschino
Grand Marnier,Grand Marnier
Tequila,Tequila
Syrup#Gomme syrup,Gomme syrup
egg yolk,egg yolk
Tomato juice,Tomato juice
Apricot brandy,Apricot brandy
???,lemon juice
Scotch Whisky,Scotch Whisky
pineapple juice,pineapple juice
Lime juice,lime
Drambuie,Drambuie
Few dashes plain [[water]],???
maraschino,maraschino
Cointreau,Cointreau
Grapefruit juice,Grapefruit juice
[[soda water]],???
simple syrup,simple syrup
Vodka,Vodka
crème de cassis,crème de cassis
Light rum,white rum
Litre#SI_prefixes_applied_to_the_litre,cL]] [[Rye whiskey
campari,campari
Pineapple juice,Pineapple juice
Calvados,Calvados
???,to 3 dashes of Worcestershire Sauce
Celery salt,???
white wine,white wine
triple sec,triple sec
Ginger ale,Ginger ale
Amaretto,Amaretto
brandy,brandy
dash [[egg white]] (optional),???
Brandy,Brandy
rum,rum
Lime juice,Lime juice
Triple sec,Triple sec
sugar]] (or cl of [[sugar syrup,sugar]] (or cl of [[sugar syrup
lemon,lemon juice
cream of coconut,cream of coconut
Simple syrup,Simple syrup
Kahlúa,Kahlúa
timing      = All Day,???
absinthe,absinthe
Strawberry syrup,Strawberry syrup
bourbon whiskey,bourbon whiskey
[[Salt]],???
Crème de cassis,Crème de cassis
rum,dark rum
Champagne (wine),champagne
???,Creme de Mure (blackberry liqueur)
gin,gin
cream,cream
egg white,egg white
white rum,white rum
crème de menthe,crème de menthe
orgeat syrup,orgeat syrup
Grenadine syrup,Grenadine syrup
lemon juice,lemon juice
???,ingredients       =  cognac
